Method,Old path,New path,Parameter changes
"GET","/t/expense/expense_types/{id}","/v0/administration/expense_types/{id}",""
"POST","/t/expense/expenses","/v0/administration/expenses",""
"GET","/t/expense/expenses/{id}","/v0/administration/expenses/{id}",""
"PUT","/t/expense/expenses/{id}","/v0/administration/expenses/{id}",""
"DELETE","/t/expense/expenses/{id}","/v0/administration/expenses/{id}",""
"GET","/t/expense/expenses/search_by/employees/{employee_id}","/v0/administration/expenses/employees/{employee_id}",""
"PUT","/t/expense/expenses/expensedistance/{expense_distance_id}","/v0/administration/expenses/expensedistance/{expense_distance_id}",""
"POST","/t/expense/expenses/preview","/v0/administration/expenses/preview",""
"GET","/t/expertise_groups","/v0/administration/expertise_groups",""
"GET","/t/expertise_groups/{id}","/v0/administration/expertise_groups/{id}",""
"GET","/t/expertise_groups/multiple","/v0/administration/expertise_groups/multiple",""
"POST","/t/expertise_profile_assignments","/v0/administration/expertise_profile_assignments",""
"GET","/t/expertise_profile_assignments/{id}","/v0/administration/expertise_profile_assignments/{id}",""
"PUT","/t/expertise_profile_assignments/{id}","/v0/administration/expertise_profile_assignments/{id}",""
"DELETE","/t/expertise_profile_assignments/{id}","/v0/administration/expertise_profile_assignments/{id}",""
"GET","/t/expertise_profile_assignments/by_employee_ids","/v0/administration/expertise_profile_assignments/by_employee_ids",""
"GET","/t/expertise_profile_assignments/multiple","/v0/administration/expertise_profile_assignments/multiple",""
"GET","/t/expertise_profiles","/v0/administration/expertise_profiles",""
"GET","/t/expertise_profiles/{expertise_profiles_id}/hour_types","/v0/administration/expertise_profiles/{expertise_profiles_id}/hour_types",""
"GET","/t/expertise_profiles/{id}","/v0/administration/expertise_profiles/{id}",""
"GET","/t/expertise_profiles/multiple","/v0/administration/expertise_profiles/multiple",""
"GET","/t/export/export_presence_logs/collect","/v0/administration/export/export_presence_logs/collect",""
"GET","/t/export/export_presence_logs/result/{uuid}","/v0/administration/export/export_presence_logs/result/{uuid}",""
"GET","/t/export/export_presence_logs/status/{uuid}","/v0/administration/export/export_presence_logs/status/{uuid}",""
"POST","/t/finance/care_order_products","/v0/administration/finance/care_order_products",""
"GET","/t/finance/care_order_products/{id}","/v0/administration/finance/care_order_products/{id}",""
"PUT","/t/finance/care_order_products/{id}","/v0/administration/finance/care_order_products/{id}",""
"DELETE","/t/finance/care_order_products/{id}","/v0/administration/finance/care_order_products/{id}",""
"POST","/t/finance/care_orders","/v0/administration/finance/care_orders",""
"GET","/t/finance/care_orders/{care_order_id}/care_order_products","/v0/administration/finance/care_orders/{care_order_id}/care_order_products",""
"GET","/t/care_orders/{care_order_id}/presence_logs","/v0/administration/finance/care_orders/{care_order_id}/presence_logs",""
"GET","/t/care_orders/{care_order_id}/presence_logs_paged","/v0/administration/finance/care_orders/{care_order_id}/presence_logs",""
"GET","/t/finance/care_orders/{id}","/v0/administration/finance/care_orders/{id}",""
"PUT","/t/finance/care_orders/{id}","/v0/administration/finance/care_orders/{id}",""
"DELETE","/t/finance/care_orders/{id}","/v0/administration/finance/care_orders/{id}",""
"GET","/t/finance/care_orders/by_client_and_finance_type/{client_object_id}","/v0/administration/finance/care_orders/by_client_and_finance_type/{client_object_id}",""
"GET","/t/finance/care_orders/by_client/{client_id}","/v0/administration/finance/care_orders/by_client/{client_id}",""
"GET","/t/finance/care_orders/by_identification_no/{identification_no}","/v0/administration/finance/care_orders/by_identification_no/{identification_no}",""
"GET","/t/finance/client_financed_products/by_location_and_finance_type_in_period","/v0/administration/finance/client_financed_products/by_location_and_finance_type_in_period",""
"GET","/t/finance/client_financed_products/by_location_and_finance_types_in_period","/v0/administration/finance/client_financed_products/by_location_and_finance_types_in_period",""
"POST","/t/finance/declaration_rules","/v0/administration/finance/declaration_rules",""
"GET","/t/finance/declaration_rules/{id}","/v0/administration/finance/declaration_rules/{id}",""
"PUT","/t/finance/declaration_rules/{id}","/v0/administration/finance/declaration_rules/{id}",""
"DELETE","/t/finance/declaration_rules/{id}","/v0/administration/finance/declaration_rules/{id}",""
"GET","/t/finance/declaration_rules/by_client/{client_id}","/v0/administration/finance/declaration_rules/by_client/{client_id}",""
"GET","/t/finance/declaration_rules/by_client/{client_id}/is_verified","/v0/administration/finance/declaration_rules/by_client/{client_id}/is_verified",""
"GET","/t/finance/declaration_rules/by_client/{client_id}/verified_until","/v0/administration/finance/declaration_rules/by_client/{client_id}/verified_until",""
"GET","/t/finance/finance_types/{finance_type_id}/products","/v0/administration/finance/finance_types/{finance_type_id}/products",""
"GET","/t/finance/finance_types/{id}","/v0/administration/finance/finance_types/{id}",""
"POST","/t/finance/forensic_care_orders","/v0/administration/finance/forensic_care_orders",""
"GET","/t/finance/forensic_care_orders/{id}","/v0/administration/finance/forensic_care_orders/{id}",""
"PUT","/t/finance/forensic_care_orders/{id}","/v0/administration/finance/forensic_care_orders/{id}",""
"DELETE","/t/finance/forensic_care_orders/{id}","/v0/administration/finance/forensic_care_orders/{id}",""
"GET","/t/finance/invoice_provider_groups","/v0/administration/finance/invoiceProviderGroups",""
"GET","/t/finance/parallel_care_orders/by_employee_and_client_at_date/{employee_object_id}","/v0/administration/finance/parallel_care_orders/by_employee_and_client_at_date/{employee_object_id}",""
"GET","/t/finance/products/{id}","/v0/administration/finance/products/{id}",""
"GET","/t/payroll/holiday/holidays","/v0/administration/holidays",""
"GET","/t/payroll/holiday/holidays/between","/v0/administration/holidays/between",""
"GET","/t/hour_type_categories","/v0/administration/hour_type_categories",""
"GET","/t/hour_type_categories/{id}","/v0/administration/hour_type_categories/{id}",""
"GET","/t/hour_type_categories/by_name/{name}","/v0/administration/hour_type_categories/by_name/{name}",""
"GET","/t/hour_type_product_assignments","/v0/administration/hour_type_product_assignments",""
"GET","/t/hour_type_product_assignments/{id}","/v0/administration/hour_type_product_assignments/{id}",""
"GET","/t/hour_types","/v0/administration/hour_types",""
"GET","/t/hour_types/{id}","/v0/administration/hour_types/{id}",""
"GET","/t/hour_types/{id}/product_assignments","/v0/administration/hour_types/{id}/product_assignments",""
"GET","/t/hour_types/multiple","/v0/administration/hour_types/multiple",""
"GET","/t/payroll/hourly_wages/{id}","/v0/administration/hourly_wages/{id}",""
"GET","/t/payroll/hourly_wages/by_employee/{employee_object_id}","/v0/administration/hourly_wages/by_employee/{employee_object_id}",""
"POST","/t/insurances","/v0/administration/insurances",""
"GET","/t/insurances/{id}","/v0/administration/insurances/{id}",""
"POST","/t/jw/zorglegitimaties","/v0/administration/jw/zorglegitimaties",""
"GET","/t/jw/zorglegitimaties/{id}","/v0/administration/jw/zorglegitimaties/{id}",""
"DELETE","/t/jw/zorglegitimaties/{id}","/v0/administration/jw/zorglegitimaties/{id}",""
"POST","/t/location_assignment_residences","/v0/administration/location_assignment_residences",""
"GET","/t/location_assignment_residences/{id}","/v0/administration/location_assignment_residences/{id}",""
"PUT","/t/location_assignment_residences/{id}","/v0/administration/location_assignment_residences/{id}",""
"GET","/t/location_assignment_residences/by_careorder/{care_order_object_id}","/v0/administration/location_assignment_residences/by_careorder/{care_order_object_id}",""
"POST","/t/location_assignment_waiting_lists","/v0/administration/location_assignment_waiting_lists",""
"GET","/t/location_assignment_waiting_lists/{id}","/v0/administration/location_assignment_waiting_lists/{id}",""
"PUT","/t/location_assignment_waiting_lists/{id}","/v0/administration/location_assignment_waiting_lists/{id}",""
"POST","/t/location_assignments","/v0/administration/location_assignments",""
"GET","/t/location_assignments/{id}","/v0/administration/location_assignments/{id}",""
"PUT","/t/location_assignments/{id}","/v0/administration/location_assignments/{id}",""
"DELETE","/t/location_assignments/{id}","/v0/administration/location_assignments/{id}",""
"GET","/t/locations","/v0/administration/locations",""
"POST","/t/locations","/v0/administration/locations",""
"GET","/t/locations/{id}","/v0/administration/locations/{id}",""
"PUT","/t/locations/{id}","/v0/administration/locations/{id}",""
"GET","/t/locations/multiple","/v0/administration/locations/multiple",""
"GET","/t/navigation/availabilities","/v0/administration/navigation/availabilities",""
"GET","/t/dossier/omaha/omaha_classifications/{id}","/v0/administration/omaha/classifications/{id}",""
"PUT","/t/dossier/omaha/omaha_classifications/{id}","/v0/administration/omaha/classifications/{id}",""
"POST","/t/dossier/omaha/omaha_classifications/by_client/{client_id}/new","/v0/administration/omaha/classifications/by_client/{client_id}/new",""
"GET","/t/dossier/omaha/omaha_classifications/by_survey_result/{survey_result_id}","/v0/administration/omaha/classifications/by_survey_result/{survey_result_id}",""
"POST","/t/dossier/omaha/classified_problems","/v0/administration/omaha/classified_problems",""
"GET","/t/dossier/omaha/classified_problems/{id}","/v0/administration/omaha/classified_problems/{id}",""
"PUT","/t/dossier/omaha/classified_problems/{id}","/v0/administration/omaha/classified_problems/{id}",""
"DELETE","/t/dossier/omaha/classified_problems/{id}","/v0/administration/omaha/classified_problems/{id}",""
"GET","/t/dossier/omaha/intervention_categories","/v0/administration/omaha/intervention_categories",""
"GET","/t/dossier/omaha/intervention_targets","/v0/administration/omaha/intervention_targets",""
"GET","/t/dossier/omaha/problems","/v0/administration/omaha/problems",""
"GET","/t/payroll/payable_hours_averages/on_day_of_week_in_period/{employee_id}","/v0/administration/payable_hours_averages/on_day_of_week_in_period/{employee_id}",""
"GET","/t/payroll/payable_hours_averages/on_days_of_week_in_period/{employee_id}","/v0/administration/payable_hours_averages/on_days_of_week_in_period/{employee_id}",""
"GET","/t/payroll/payable_hours_averages/per_day_in_period/{employee_id}","/v0/administration/payable_hours_averages/per_day_in_period/{employee_id}",""
"GET","/t/payroll/payable_hours_averages/per_week_in_period/{employee_id}","/v0/administration/payable_hours_averages/per_week_in_period/{employee_id}",""
"GET","/t/practitioners/by_agb/{agbcode}","/v0/administration/practitioners/by_agb/{agbcode}",""
"GET","/t/practitioners/by_employee/{employee_id}","/v0/administration/practitioners/by_employee/{employee_id}",""
"GET","/t/practitioners/search","/v0/administration/practitioners/search",""
"GET","/t/presence_logs/{id}","/v0/administration/presence/presence_logs/{id}",""
"GET","/t/presence_logs/with_care_order/{presence_log_object_id}","/v0/administration/presence/presence_logs/with_care_order/{presence_log_object_id}",""
"POST","/t/referrals","/v0/administration/referrals",""
"GET","/t/referrals/{id}","/v0/administration/referrals/{id}",""
"GET","/t/referrals/by_client/{client_id}","/v0/administration/referrals/by_client/{client_id}",""
"GET","/t/referrals/categories","/v0/administration/referrals/categories",""
"GET","/t/skns/{id}","/v0/administration/skns/{id}",""
"GET","/t/status/application","/v0/administration/status/application",""
"DELETE","/t/survey/answers/{id}","/v0/administration/survey_answer/{id}",""
"POST","/t/survey/survey_results","/v0/administration/survey_result",""
"GET","/t/survey/survey_results/{id}","/v0/administration/survey_result/{id}",""
"PUT","/t/survey/survey_results/{id}","/v0/administration/survey_result/{id}",""
"DELETE","/t/survey/survey_results/{id}","/v0/administration/survey_result/{id}",""
"POST","/t/survey/survey_results/{survey_result_id}/duplicate","/v0/administration/survey_result/{survey_result_id}/duplicate",""
"GET","/t/survey/surveys/{survey_id}/survey_results","/v0/administration/survey_result/by_survey/{survey_id}","updatedSince: renamed from updated_since"
"GET","/t/clients/{client_id}/survey_results","/v0/administration/survey_result/survey_results_by_client/{client_id}",""
"GET","/t/survey/answer_definition_groups","/v0/administration/survey/answer_definition_groups",""
"POST","/t/survey/answer_definition_groups","/v0/administration/survey/answer_definition_groups",""
"GET","/t/survey/answer_definition_groups/{id}","/v0/administration/survey/answer_definition_groups/{id}",""
"PUT","/t/survey/answer_definition_groups/{id}","/v0/administration/survey/answer_definition_groups/{id}",""
"GET","/t/survey/group_answers/{id}","/v0/administration/survey/group_answers/{id}",""
"GET","/t/survey/surveys","/v0/administration/survey/surveys",""
"POST","/t/survey/surveys","/v0/administration/survey/surveys",""
"GET","/t/survey/surveys/{id}","/v0/administration/survey/surveys/{id}",""
"PUT","/t/survey/surveys/{id}","/v0/administration/survey/surveys/{id}",""
"DELETE","/t/survey/surveys/{id}","/v0/administration/survey/surveys/{id}",""
"GET","/t/survey/surveys/creatable_surveys_by_employee/{employee_id}","/v0/administration/survey/surveys/creatable_surveys_by_employee/{employee_id}",""
"POST","/t/team_addresses","/v0/administration/team_addresses",""
"GET","/t/team_addresses/{id}","/v0/administration/team_addresses/{id}",""
"PUT","/t/team_addresses/{id}","/v0/administration/team_addresses/{id}",""
"DELETE","/t/team_addresses/{id}","/v0/administration/team_addresses/{id}",""
"GET","/t/team_assignments/{id}","/v0/administration/team_assignments/{id}",""
"GET","/t/teams","/v0/administration/teams",""
"GET","/t/teams/{id}","/v0/administration/teams/{id}",""
"GET","/t/teams/by_code/{code}","/v0/administration/teams/by_code/{code}",""
"GET","/t/teams/multiple","/v0/administration/teams/multiple",""
"GET","/t/transport/client_transport/by_client/{client_id}","/v0/administration/transport/client_transport/by_client/{client_id}",""
"GET","/t/treatment_locations/{id}","/v0/administration/treatment_locations/{id}",""
"POST","/t/users","/v0/administration/users",""
"GET","/t/users/{id}","/v0/administration/users/{id}",""
"PUT","/t/users/{id}","/v0/administration/users/{id}",""
"DELETE","/t/users/{id}","/v0/administration/users/{id}",""
"GET","/t/users/{user_id}/last_visited_clients","/v0/administration/users/{user_id}/last_visited_clients",""
"POST","/t/users/{user_id}/last_visited_clients/{client_id}","/v0/administration/users/{user_id}/last_visited_clients/{client_id}",""
"GET","/t/users/{user_id}/last_visited_employees","/v0/administration/users/{user_id}/last_visited_employees",""
"GET","/t/users/{user_id}/last_visited_locations","/v0/administration/users/{user_id}/last_visited_locations",""
"GET","/t/users/{user_id}/last_visited_teams","/v0/administration/users/{user_id}/last_visited_teams",""
"PUT","/t/users/{user_id}/password","/v0/administration/users/{user_id}/password",""
"GET","/t/users/{user_id}/scoped_teams","/v0/administration/users/{user_id}/scoped_teams",""
"GET","/t/users/{user_id}/status","/v0/administration/users/{user_id}/status",""
"GET","/t/users/{user_id}/viewable_locations","/v0/administration/users/{user_id}/viewable_locations",""
"GET","/t/users/by_employee_id/{employee_id}","/v0/administration/users/by_employee_id/{employee_id}",""
"GET","/t/users/by_sso","/v0/administration/users/by_sso",""
"GET","/t/users/by_user_name","/v0/administration/users/by_username","username: renamed from user_name"
"GET","/t/users/by_user_name/{user_name}","/v0/administration/users/by_username/{user_name}",""
"GET","/t/users/by_uuid/{uuid}","/v0/administration/users/by_uuid/{uuid}",""
"GET","/t/weeksheet_profiles","/v0/administration/weeksheet_profiles",""
"POST","/t/wlz/zorglegitimaties","/v0/administration/wlz/zorglegitimaties",""
"GET","/t/wlz/zorglegitimaties/{id}","/v0/administration/wlz/zorglegitimaties/{id}",""
"DELETE","/t/wlz/zorglegitimaties/{id}","/v0/administration/wlz/zorglegitimaties/{id}",""
"POST","/t/wmo/zorglegitimaties","/v0/administration/wmo/zorglegitimaties",""
"GET","/t/wmo/zorglegitimaties/{id}","/v0/administration/wmo/zorglegitimaties/{id}",""
"DELETE","/t/wmo/zorglegitimaties/{id}","/v0/administration/wmo/zorglegitimaties/{id}",""
"GET","/t/payroll/work_hours_balances/by_employee_at_date/{employee_object_id}","/v0/administration/work_hours_balances/by_employee_at_date/{employee_object_id}",""
"GET","/t/payroll/work_hours_balances/by_employee_with_type_at_date/{employee_object_id}","/v0/administration/work_hours_balances/by_employee_with_type_at_date/{employee_object_id}",""
"GET","/t/payroll/work_hours_balances/by_employee_with_type/{employee_object_id}","/v0/administration/work_hours_balances/by_employee_with_type/{employee_object_id}",""
"GET","/t/payroll/work_hours_balances/by_employee/{employee_object_id}","/v0/administration/work_hours_balances/by_employee/{employee_object_id}",""
"GET","/t/payroll/work_load/by_employee_in_year/{employee_object_id}","/v0/administration/work_load/by_employee_in_year/{employee_object_id}",""
"GET","/t/worksheets/{employee_id}","/v0/administration/worksheets/{employee_id}",""
"POST","/t/zpm/care_orders","/v0/administration/zpm/care_orders",""
"GET","/t/zpm/care_orders/{care_order_id}","/v0/administration/zpm/care_orders/{care_order_id}",""
"GET","/t/zpm/gbggz_profielen","/v0/administration/zpm/gbggz_profielen",""
"GET","/t/zpm/settings","/v0/administration/zpm/settings",""
"GET","/t/zpm/zorglabels","/v0/administration/zpm/zorglabels",""
"GET","/t/agenda_occurrences/{agenda_occurrence_id}/presence_logs","/v0/agenda/agenda_occurrences/{agenda_occurrence_id}/presence_logs",""
"GET","/t/agenda_occurrences/{id}","/v0/agenda/agenda_occurrences/{id}",""
"DELETE","/t/agenda_occurrences/{id}/destroy_following","/v0/agenda/agenda_occurrences/{id}/destroy_following",""
"DELETE","/t/agenda_occurrences/{id}/destroy_incidentally","/v0/agenda/agenda_occurrences/{id}/destroy_incidentally",""
"PUT","/t/agenda_occurrences/{id}/update_following","/v0/agenda/agenda_occurrences/{id}/update_following",""
"PUT","/t/agenda_occurrences/{id}/update_incidentally","/v0/agenda/agenda_occurrences/{id}/update_incidentally",""
"GET","/t/agenda_registration_status","/v0/agenda/agenda_registration_status","type_ids[]: renamed from type_ids"
"POST","/t/agenda_series","/v0/agenda/agenda_series",""
"POST","/t/agenda_series/archive_group","/v0/agenda/agenda_series/archive_group",""
"PUT","/t/agenda_series/update_group","/v0/agenda/agenda_series/update_group",""
"GET","/t/agenda/client_absence_occurrences/{id}","/v0/agenda/client_absence_occurrences/{id}",""
"GET","/t/agenda/client_absence_occurrences/by_client_in_period","/v0/agenda/client_absence_occurrences/by_client_in_period",""
"GET","/t/clients/{client_id}/agenda_occurrences","/v0/agenda/clients/{client_id}/agenda_occurrences","from: renamed from valid_from","to: renamed from valid_to"
"GET","/t/employees/{employee_id}/agenda_occurrences","/v0/agenda/employees/{employee_id}/agenda_occurrences","from: renamed from valid_from","to: renamed from valid_to"
"GET","/t/agenda/groups/{group_id}/future_events","/v0/agenda/groups/{group_id}/future_events",""
"GET","/t/agenda_occurrences/by_group/{group_uuid}","/v0/agenda/groups/{group_uuid}/agenda_occurrences","from: renamed from valid_from","to: renamed from valid_to"
"GET","/t/agenda/labels","/v0/agenda/labels",""
"GET","/t/locations/{location_id}/agenda_occurrences","/v0/agenda/locations/{location_id}/agenda_occurrences","from: renamed from valid_from","to: renamed from valid_to"
"GET","/t/agenda/registrations/by_registration_coupling_uuid/{registration_coupling_uuid}","/v0/agenda/registrations/by_registration_coupling_uuid/{registration_coupling_uuid}",""
"GET","/t/teams/agenda_enabled","/v0/agenda/teams",""
"POST","/t/agenda/unavailabilities","/v0/agenda/unavailabilities",""
"GET","/t/herald/announcement_count","/v0/announcements/announcement_count",""
"GET","/t/auditing/export","/v0/auditing/export","titles[]: renamed from titles"
"GET","/t/authorization/provisioning/roles","/v0/authorization/provisioning/roles",""
"PUT","/t/authorization/provisioning/users/{user_uuid}","/v0/authorization/provisioning/users/{user_uuid}",""
"PUT","/t/authorization/provisioning/users/{user_uuid}/duties","/v0/authorization/provisioning/users/{user_uuid}/duties",""
"PUT","/t/authorization/provisioning/users/{user_uuid}/my_locations","/v0/authorization/provisioning/users/{user_uuid}/my_locations",""
"PUT","/t/authorization/provisioning/users/{user_uuid}/my_teams","/v0/authorization/provisioning/users/{user_uuid}/my_teams",""
"PUT","/t/authorization/provisioning/users/{user_uuid}/scope_settings","/v0/authorization/provisioning/users/{user_uuid}/scope_settings",""
"PUT","/t/authorization/provisioning/users/{user_uuid}/scopes","/v0/authorization/provisioning/users/{user_uuid}/scopes",""
"GET","/t/employees/{employee_id}/kamino_setting","/v0/berichten/cupido/employees/{employee_id}/setting",""
"PATCH","/t/employees/{employee_id}/kamino_setting","/v0/berichten/cupido/employees/{employee_id}/setting",""
"GET","/t/caren/people/by_external_id/{client_id}","/v0/caren/external_id/people/{client_id}",""
"GET","/t/clients/{client_id}/caren/person","/v0/caren/external_id/people/{client_id}",""
"GET","/t/caren/invitations/{invitation_id}/letter","/v0/caren/invitations/{invitation_id}/letter",""
"GET","/t/client_collab/shared_resources","/v0/caren/shared_resources",""
"GET","/t/client_collab/shared_resources/multiple","/v0/caren/shared_resources",""
"PUT","/t/client_collab/shared_resources/{id}/unshare","/v0/caren/shared_resources/{id}/unshare",""
"GET","/t/caretech/server/orders","/v0/caretech/server/orders",""
"GET","/t/caretech/server/orders/{order_id}","/v0/caretech/server/orders/{order_id}",""
"PATCH","/t/caretech/server/orders/{order_id}/status","/v0/caretech/server/orders/{order_id}/status",""
"POST","/t/caretech/server/product_allocations","/v0/caretech/server/product_allocations",""
"GET","/t/client_story/authorized/images/by_client_id_and_reference","/v0/client_story/authorized/clients/{client_id}/client_story/images","client_id: moved from query to path"
"GET","/t/client_story/authorized_stories/full_by_client/{client_id}","/v0/client_story/authorized/stories/full_by_client/{client_id}",""
"POST","/t/client_story/care_relations/request_for_client/{client_id}","/v0/client_story/care_relations/request_for_client/{client_id}",""
"GET","/t/client_story/change_sets/most_recent_by_client/{client_id}","/v0/client_story/change_sets/most_recent_by_client/{client_id}",""
"GET","/t/client_story/images/by_client_id_and_reference","/v0/client_story/clients/{client_id}/client_story/images","client_id: moved from query to path"
"PUT","/t/client_story/stories/by_client/{client_id}","/v0/client_story/stories/by_client/{client_id}",""
"GET","/t/client_story/stories/full_by_client/{client_id}","/v0/client_story/stories/full_by_client/{client_id}",""
"GET","/t/client_story/stories/single_answer_full_by_client/{client_id}","/v0/client_story/stories/single_answer_full_by_client/{client_id}",""
"GET","/t/ons_client/shared_resources","/v0/client/shared_resources",""
"GET","/t/dbc/ggz/fz/subtrajecten","/v0/dbc/fz/subtraject",""
"GET","/t/dbc/ggz/fz/subtrajecten/{id}/history","/v0/dbc/fz/subtraject/{id}/history",""
"GET","/t/dbc/ggz/fz/subtrajecten/gesloten","/v0/dbc/fz/subtraject/gesloten",""
"GET","/t/dbc/ggz/zorgtrajecten/by_client/{client_id}","/v0/dbc/ggz/client/{client_id}/zorgtrajecten",""
"GET","/t/dbc/ggz/jw/subtrajecten/gesloten","/v0/dbc/ggz/jw/subtraject/gesloten",""
"GET","/t/dbc/ggz/subtrajecten","/v0/dbc/ggz/subtraject",""
"GET","/t/dbc/ggz/subtrajecten/{id}","/v0/dbc/ggz/subtraject/{id}",""
"GET","/t/dbc/ggz/subtrajecten/{id}/history","/v0/dbc/ggz/subtraject/{id}/history",""
"GET","/t/dbc/ggz/validation_errors/by_subtraject/{subtraject_id}","/v0/dbc/ggz/subtraject/{subtraject_id}/validation_errors",""
"GET","/t/dbc/ggz/subtrajecten/gesloten","/v0/dbc/ggz/subtraject/gesloten",""
"GET","/t/dbc/ggz/validation_errors/by_subtrajects","/v0/dbc/ggz/subtraject/validation_errors",""
"POST","/t/dbc/ggz/zorgtrajecten","/v0/dbc/ggz/zorgtraject",""
"GET","/t/dbc/ggz/zorgtrajecten/{id}","/v0/dbc/ggz/zorgtraject/{id}",""
"POST","/t/dbc/ggz/zorgtrajecten/{zorgtraject_id}/diagnose_toekenningen","/v0/dbc/ggz/zorgtraject/{zorgtraject_id}/diagnose_toekenningen",""
"DELETE","/t/dbc/ggz/zorgtrajecten/{zorgtraject_id}/diagnose_toekenningen","/v0/dbc/ggz/zorgtraject/{zorgtraject_id}/diagnose_toekenningen",""
"GET","/t/dbc/ggz/presencelog_sync_error/{id}","/v0/dbc/presencelog_sync_error/{id}",""
"GET","/t/dbc/ggz/presencelog_sync_error/in_period","/v0/dbc/presencelog_sync_error/in_period",""
"GET","/t/active_care_plan_metadata","/v0/dossier/back_channel/authorized/active_care_plan_metadata","client_ids[]: renamed from client_ids"
"GET","/t/dossier/admin/alerts/topics","/v0/dossier/back_channel/authorized/admin/alerts/topics",""
"POST","/t/dossier/admin/alerts/topics","/v0/dossier/back_channel/authorized/admin/alerts/topics",""
"GET","/t/dossier/admin/alerts/topics/{id}","/v0/dossier/back_channel/authorized/admin/alerts/topics/{id}",""
"PUT","/t/dossier/admin/alerts/topics/{id}","/v0/dossier/back_channel/authorized/admin/alerts/topics/{id}",""
"DELETE","/t/dossier/admin/alerts/topics/{id}","/v0/dossier/back_channel/authorized/admin/alerts/topics/{id}",""
"POST","/t/dossier/alerts","/v0/dossier/back_channel/authorized/alerts",""
"GET","/t/dossier/alerts/{id}","/v0/dossier/back_channel/authorized/alerts/{id}",""
"PUT","/t/dossier/alerts/{id}","/v0/dossier/back_channel/authorized/alerts/{id}",""
"GET","/t/dossier/clients/{client_id}/last_medical_moments","/v0/dossier/back_channel/authorized/clients/{client_id}/last_medical_moments",""
"GET","/t/clients/{client_id}/medical/propensities_to_adverse_reaction","/v0/dossier/back_channel/authorized/clients/{client_id}/medical/propensities_to_adverse_reaction",""
"POST","/t/dossier/authorized/clients/{client_id}/reports","/v0/dossier/back_channel/authorized/clients/{client_id}/reports",""
"GET","/t/dossier/authorized/clients/{client_id}/reports_with_actions","/v0/dossier/back_channel/authorized/clients/{client_id}/reports_with_actions",""
"PUT","/t/dossier/authorized/clients/{client_id}/reports/{report_id}","/v0/dossier/back_channel/authorized/clients/{client_id}/reports/{report_id}",""
"GET","/t/dossier/authorized/clients/{client_id}/reports/search_by_client","/v0/dossier/back_channel/authorized/clients/{client_id}/reports/search_by_client",""
"GET","/t/dossier/authorized/clients/{client_id}/reports/search_by_client_with_updated_since","/v0/dossier/back_channel/authorized/clients/{client_id}/reports/search_by_client_with_updated_since",""
"POST","/t/dossier/medical/propensities_to_adverse_reaction","/v0/dossier/back_channel/authorized/medical/propensities_to_adverse_reaction",""
"GET","/t/dossier/medical/propensities_to_adverse_reaction/{id}","/v0/dossier/back_channel/authorized/medical/propensities_to_adverse_reaction/{id}",""
"PUT","/t/dossier/medical/propensities_to_adverse_reaction/{id}","/v0/dossier/back_channel/authorized/medical/propensities_to_adverse_reaction/{id}",""
"DELETE","/t/dossier/medical/propensities_to_adverse_reaction/{id}","/v0/dossier/back_channel/authorized/medical/propensities_to_adverse_reaction/{id}",""
"GET","/t/dossier/authorized/reports/with_actions","/v0/dossier/back_channel/authorized/reports/with_actions","location_ids[]: renamed from location_ids"
"GET","/t/dossier/authorized/reports/with_actions_summary","/v0/dossier/back_channel/authorized/reports/with_actions_summary","location_ids[]: renamed from location_ids"
"GET","/t/dossier/action_entry_summaries/last_by_persistent_ids","/v0/dossier/back_channel/unauthorized/action_entry_summaries/last_by_persistent_ids","persistent_ids[]: renamed from persistent_ids"
"GET","/t/dossier/unauthorized/alerts/{id}","/v0/dossier/back_channel/unauthorized/alerts/{id}",""
"GET","/t/dossier/unauthorized/alerts/by_client_ids","/v0/dossier/back_channel/unauthorized/alerts/by_client_ids","ids[]: renamed from ids"
"GET","/t/dossier/care_plan_agreements/{id}","/v0/dossier/back_channel/unauthorized/care_plan/{id}/agreement",""
"GET","/t/dossier/care_plan_signature_requirements/{id}","/v0/dossier/back_channel/unauthorized/care_plan/{id}/signature_requirement",""
"POST","/t/dossier/restrictive_measure_registrations","/v0/dossier/back_channel/unauthorized/care_plan/restrictive_measure_registrations",""
"POST","/t/dossier/restrictive_measure_care_plan_entries","/v0/dossier/back_channel/unauthorized/care_plan/restrictive_measures",""
"GET","/t/dossier/restrictive_measure_care_plan_entries/{id}","/v0/dossier/back_channel/unauthorized/care_plan/restrictive_measures/{id}",""
"PUT","/t/dossier/restrictive_measure_care_plan_entries/{id}","/v0/dossier/back_channel/unauthorized/care_plan/restrictive_measures/{id}",""
"DELETE","/t/dossier/restrictive_measure_care_plan_entries/{id}","/v0/dossier/back_channel/unauthorized/care_plan/restrictive_measures/{id}",""
"PATCH","/t/dossier/restrictive_measure_care_plan_entries/{id}","/v0/dossier/back_channel/unauthorized/care_plan/restrictive_measures/{id}",""
"GET","/t/dossier/clients/{client_id}/care_plan/restrictive_measure_registrations","/v0/dossier/back_channel/unauthorized/clients/{client_id}/care_plan/restrictive_measure_registrations",""
"GET","/t/dossier/clients/{client_id}/care_plan/restrictive_measure_care_plan_entries","/v0/dossier/back_channel/unauthorized/clients/{client_id}/care_plan/restrictive_measures",""
